seed,reliability_heterogeneity,branch,signal_energy,noise_energy,signal_to_noise,optimal_reliability_gain,coefficient_noise_sd
7106,2,0,3.396191981e-05,0.001854257993,0.01831563889,0.03,8.78642542
7106,2,1,2.037669118e-05,0.0003547929981,0.05743261927,0.05431326613,3.829707077
7106,2,2,3.033098096e-05,0.0001684190769,0.1800923121,0.1526086648,2.626427881
7106,2,3,3.788437395e-05,6.708545817e-05,0.564718122,0.3609072548,1.657648536
7106,2,4,2.324448456e-05,1.312658167e-05,1.770794952,0.6390927452,0.7346050297
7106,2,5,2.181708672e-05,3.929089592e-06,5.552707876,0.8473913352,0.4028186126
7106,2,6,2.136572531e-05,1.227089567e-06,17.41170806,0.9456867339,0.2254370373
7106,2,7,1.9646328e-05,3.598350492e-07,54.59815003,0.98201379,0.1215393065
7107,0,0,3.033690964e-05,3.033690964e-05,1,0.5,1.115671343
7107,0,1,4.079196572e-05,4.079196572e-05,1,0.5,1.288516638
7107,0,2,3.815786405e-05,3.815786405e-05,1,0.5,1.245757569
7107,0,3,2.396421252e-05,2.396421252e-05,1,0.5,1.000291786
7107,0,4,3.676694517e-05,3.676694517e-05,1,0.5,1.233309893
7107,0,5,2.076349371e-05,2.076349371e-05,1,0.5,0.9208701389
7107,0,6,3.404928306e-05,3.404928306e-05,1,0.5,1.175082442
7107,0,7,2.278607005e-05,2.278607005e-05,1,0.5,0.9724429081
7107,0.5,0,3.033690964e-05,8.24642702e-05,0.3678794412,0.2689414214,1.839431074
7107,0.5,1,4.079196572e-05,8.332685263e-05,0.4895416596,0.3286525465,1.841599562
7107,0.5,2,3.815786405e-05,5.857472561e-05,0.6514390575,0.3944675128,1.543464474
7107,0.5,3,2.396421252e-05,2.764427669e-05,0.8668778998,0.4643463292,1.074354821
7107,0.5,4,3.676694517e-05,3.187245221e-05,1.153564995,0.5356536708,1.148288937
7107,0.5,5,2.076349371e-05,1.352615078e-05,1.535063009,0.6055324872,0.7432506318
7107,0.5,6,3.404928306e-05,1.666854254e-05,2.04272707,0.6713474535,0.8221729135
7107,0.5,7,2.278607005e-05,8.382526715e-06,2.718281828,0.7310585786,0.5898164386
7107,1,0,3.033690964e-05,0.0002241611272,0.1353352832,0.119202922,3.032709138
7107,1,1,4.079196572e-05,0.0001702140175,0.2396510364,0.1933213698,2.632087817
7107,1,2,3.815786405e-05,8.991589456e-05,0.4243728457,0.2979366301,1.912316362
7107,1,3,2.396421252e-05,3.18894699e-05,0.7514772931,0.4290534031,1.153901589
