panel,record,rule,severity,mean,ci_low,ci_high,n,forward,metric,seed,value,comparison,rate_scope,optimizer,bound
J,seed outcome,resistance,,,,,,,test_nmse,2026092200.0,0.0001103647443498,0.0,selected,,
J,seed outcome,resistance,,,,,,,test_nmse,2026092201.0,6.789422507984792e-05,0.0,selected,,
J,seed outcome,resistance,,,,,,,test_nmse,2026092202.0,4.890429614799116e-05,0.0,selected,,
J,seed outcome,resistance,,,,,,,test_nmse,2026092203.0,0.0001031448433126,0.0,selected,,
J,seed outcome,resistance,,,,,,,test_nmse,2026092204.0,7.737996006113067e-05,0.0,selected,,
J,seed outcome,resistance,,,,,,,test_nmse,2026092205.0,4.760886776482748e-05,0.0,selected,,
J,seed outcome,resistance,,,,,,,test_nmse,2026092206.0,0.0001531352141388,0.0,selected,,
J,seed outcome,resistance,,,,,,,test_nmse,2026092207.0,9.904682424003584e-05,0.0,selected,,
J,seed outcome,resistance,,,,,,,test_nmse,2026092208.0,5.430331053863407e-05,0.0,selected,,
J,seed outcome,resistance,,,,,,,test_nmse,2026092209.0,8.606097608665707e-05,0.0,selected,,
J,seed outcome,resistance,,,,,,,test_nmse,2026092210.0,5.376713188335472e-05,0.0,selected,,
J,seed outcome,resistance,,,,,,,test_nmse,2026092211.0,0.0001350814152505,0.0,selected,,
J,seed outcome,resistance,,,,,,,test_nmse,2026092212.0,6.52249088801436e-05,0.0,selected,,
J,seed outcome,resistance,,,,,,,test_nmse,2026092213.0,7.024046128870342e-05,0.0,selected,,
J,seed outcome,resistance,,,,,,,test_nmse,2026092214.0,0.0001272861260195,0.0,selected,,
J,seed outcome,resistance,,,,,,,test_nmse,2026092215.0,0.0001111281763899,0.0,selected,,
J,seed outcome,resistance,,,,,,,test_nmse,2026092216.0,0.0001434865667225,0.0,selected,,
J,seed outcome,resistance,,,,,,,test_nmse,2026092217.0,0.0001417094098842,0.0,selected,,
J,seed outcome,resistance,,,,,,,test_nmse,2026092218.0,8.123526607288483e-05,0.0,selected,,
J,seed outcome,resistance,,,,,,,test_nmse,2026092219.0,0.0001234958342481,0.0,selected,,
J,mean and bootstrap interval,broadcast,,0.01050601153527379,0.0087532106990197,0.012519980061403934,20.0,,ood_3.0,,,1.0,selected,,
J,seed outcome,broadcast,,,,,,,ood_3.0,2026092200.0,0.0152486095705045,1.0,selected,,
J,seed outcome,broadcast,,,,,,,ood_3.0,2026092201.0,0.0100488159064166,1.0,selected,,
J,seed outcome,broadcast,,,,,,,ood_3.0,2026092202.0,0.0055978438760745,1.0,selected,,
J,seed outcome,broadcast,,,,,,,ood_3.0,2026092203.0,0.0061612877598202,1.0,selected,,
J,seed outcome,broadcast,,,,,,,ood_3.0,2026092204.0,0.0084317043641213,1.0,selected,,
J,seed outcome,broadcast,,,,,,,ood_3.0,2026092205.0,0.0085867303752323,1.0,selected,,
J,seed outcome,broadcast,,,,,,,ood_3.0,2026092206.0,0.0095081352081808,1.0,selected,,
J,seed outcome,broadcast,,,,,,,ood_3.0,2026092207.0,0.0095333210110024,1.0,selected,,
J,seed outcome,broadcast,,,,,,,ood_3.0,2026092208.0,0.0094767626046968,1.0,selected,,
J,seed outcome,broadcast,,,,,,,ood_3.0,2026092209.0,0.01728444591543,1.0,selected,,
J,seed outcome,broadcast,,,,,,,ood_3.0,2026092210.0,0.0153118378413194,1.0,selected,,
J,seed outcome,broadcast,,,,,,,ood_3.0,2026092211.0,0.0132235867468344,1.0,selected,,
J,seed outcome,broadcast,,,,,,,ood_3.0,2026092212.0,0.0083155634661889,1.0,selected,,
J,seed outcome,broadcast,,,,,,,ood_3.0,2026092213.0,0.0079038383285236,1.0,selected,,
J,seed outcome,broadcast,,,,,,,ood_3.0,2026092214.0,0.0235759624731625,1.0,selected,,
J,seed outcome,broadcast,,,,,,,ood_3.0,2026092215.0,0.0073446217170696,1.0,selected,,
J,seed outcome,broadcast,,,,,,,ood_3.0,2026092216.0,0.0087639636341892,1.0,selected,,
