post_soma_id,routes,method,capture,null_sd
256606,8,morphology-selected actual routes,0.7348016309382134,
256606,8,random actual routes,0.318529328288726,0.14586738010223396
256606,8,depth-preserving ancestry shuffle,0.4570857593288318,0.01587874504736257
256606,8,depth bins,0.49004976152457025,
256606,16,dense SVD oracle,0.8674608700383653,
256606,16,morphology-selected actual routes,0.8309551280041609,
256606,16,random actual routes,0.5713121439441031,0.1308277616144798
256606,16,depth-preserving ancestry shuffle,0.521394510941712,0.017948729403049927
256606,16,depth bins,0.5457931593784782,
258301,1,dense SVD oracle,0.5698330976277363,
258301,1,morphology-selected actual routes,0.5497254577172166,
258301,1,random actual routes,0.05548805420652991,0.11445347023455708
258301,1,depth-preserving ancestry shuffle,0.31180840863068027,0.021751525327369976
258301,1,depth bins,0.34819645854687964,
258301,2,dense SVD oracle,0.6776349535481161,
258301,2,morphology-selected actual routes,0.6104650967599566,
258301,2,random actual routes,0.11232354456696304,0.15299234960268387
258301,2,depth-preserving ancestry shuffle,0.40143041323719003,0.01810592733492241
258301,2,depth bins,0.4003637101158576,
258301,4,dense SVD oracle,0.7565952135417288,
258301,4,morphology-selected actual routes,0.7233142941930122,
258301,4,random actual routes,0.20254454063085056,0.18121386077571486
258301,4,depth-preserving ancestry shuffle,0.4406054703519382,0.017077003478692798
258301,4,depth bins,0.5513814173291678,
258301,8,dense SVD oracle,0.8227645226653132,
258301,8,morphology-selected actual routes,0.7878312017042066,
258301,8,random actual routes,0.33787340342652783,0.20367969437220101
258301,8,depth-preserving ancestry shuffle,0.5221214076218985,0.013535517248994253
258301,8,depth bins,0.5724274585097737,
258301,16,dense SVD oracle,0.8986230557442344,
258301,16,morphology-selected actual routes,0.8785994403121107,
258301,16,random actual routes,0.5725487102633882,0.1637589217635
258301,16,depth-preserving ancestry shuffle,0.5768817068726934,0.019731892274627467
258301,16,depth bins,0.6281525023114769,
294510,1,dense SVD oracle,0.21398504900470114,
294510,1,morphology-selected actual routes,0.21030105796665166,
294510,1,random actual routes,0.04450560208274155,0.04639554183016466
294510,1,depth-preserving ancestry shuffle,0.05080944558388268,0.014296033550924929
294510,1,depth bins,0.09550355273370681,
294510,2,dense SVD oracle,0.3806961414216622,
294510,2,morphology-selected actual routes,0.37519701929364313,
294510,2,random actual routes,0.09138771773218644,0.06429387120704785
294510,2,depth-preserving ancestry shuffle,0.06608064256984546,0.014902487207002131
294510,2,depth bins,0.10152211472080375,
294510,4,dense SVD oracle,0.5425131044490513,
294510,4,morphology-selected actual routes,0.4611097857456904,
294510,4,random actual routes,0.16535252638758652,0.0743490104808951
294510,4,depth-preserving ancestry shuffle,0.11441942984210965,0.01704293528715301
294510,4,depth bins,0.12259153833175263,
294510,8,dense SVD oracle,0.7063260541459679,
294510,8,morphology-selected actual routes,0.6648412280685974,
294510,8,random actual routes,0.3317803946918878,0.10500652943087163
294510,8,depth-preserving ancestry shuffle,0.1786236669426433,0.037041487652822856
294510,8,depth bins,0.1844833523510646,
294510,16,dense SVD oracle,0.8947242756151329,
294510,16,morphology-selected actual routes,0.8742208451790144,
294510,16,random actual routes,0.5817762169877955,0.08980290564866726
294510,16,depth-preserving ancestry shuffle,0.29648841774543166,0.043000010838762384
294510,16,depth bins,0.27068151762813786,
294539,1,dense SVD oracle,0.13085924666460352,
294539,1,morphology-selected actual routes,0.13046710081019763,
294539,1,random actual routes,0.03801807451841183,0.028592482410903234
294539,1,depth-preserving ancestry shuffle,0.025429282445946836,0.007116410844989068
294539,1,depth bins,0.0838215272285241,
294539,2,dense SVD oracle,0.23756588826693548,
294539,2,morphology-selected actual routes,0.23036473146710956,
294539,2,random actual routes,0.07207825199773647,0.03599022658400304
294539,2,depth-preserving ancestry shuffle,0.04510896795786108,0.008825280782496033
