task_id,family,candidate_id,shape,normalized_mse,mean_restart_error,restart_std,centered_cut_bound,centered_cut_sum,full_cut_bound,pilot_error,optimization_gap_above_bound
matching_015,quadratic_matching,balanced_p1,balanced,0.5,0.625,0.14433756729740643,0.5,2.0,0.5,0.5061504329290056,0.0
matching_015,quadratic_matching,balanced_p2,balanced,0.5,0.5625,0.125,0.5,2.0,0.5,0.5000000914034672,0.0
matching_015,quadratic_matching,balanced_p3,balanced,0.75,0.75,0.0,0.75,2.5,0.5,0.75,0.0
matching_015,quadratic_matching,comb_p0,comb,0.75,0.7500181062540703,3.6212508140460236e-05,0.4999999999999999,1.25,0.25,0.750256200963521,0.2500000000000001
matching_015,quadratic_matching,comb_p1,comb,0.75,0.75,0.0,0.5,2.25,0.5,0.7500000002299019,0.25
matching_015,quadratic_matching,comb_p2,comb,0.75,0.75,0.0,0.5,2.0,0.5,0.7500003036100267,0.25
matching_015,quadratic_matching,comb_p3,comb,0.75,0.75,0.0,0.75,3.0,0.5,0.7500000014929584,0.0
matching_015,quadratic_matching,mixed_p0,mixed,0.5,0.5,0.0,0.25,1.25,0.25,0.5,0.25
matching_015,quadratic_matching,mixed_p1,mixed,0.4999999999999999,0.5,5.551115123125783e-17,0.5,1.75,0.5,0.4999999999999999,-1.1102230246251565e-16
matching_015,quadratic_matching,mixed_p2,mixed,0.5,0.5625,0.125,0.25,1.5,0.25,0.5,0.25
matching_015,quadratic_matching,mixed_p3,mixed,0.75,0.75,0.0,0.75,2.5,0.5,0.75,0.0
matching_016,quadratic_matching,balanced_p0,balanced,0.4999999999999999,0.5,6.409875621278546e-17,0.25,1.0,0.25,0.4999999999999999,0.2499999999999999
matching_016,quadratic_matching,balanced_p1,balanced,0.5,0.5,0.0,0.25,1.0,0.25,0.5,0.25
matching_016,quadratic_matching,balanced_p2,balanced,0.5,0.5625,0.12499999999999999,0.5,2.0,0.5,0.5,0.0
matching_016,quadratic_matching,balanced_p3,balanced,0.5,0.5625,0.12499999999999999,0.5,2.0,0.5,0.5,0.0
matching_016,quadratic_matching,comb_p0,comb,0.75,0.7500000000003473,6.946696309468393e-13,0.4999999999999999,1.5,0.25,0.7506228688546295,0.2500000000000001
