seed,depth,config_index,record_index_distal_to_soma,is_soma_stage,module_name,component,mean,std,min,q05,q50,q95,max,n
10203,2,13,0,False,core_network.layers.0.populations.e.branch_layers.0,path_gain,0.1127362281,0.02800853971,0.06216615438,0.07606616318,0.1015198119,0.1491465501,0.1541502476,49152
10203,2,13,1,False,core_network.layers.0.populations.e.branch_layers.1,branch_voltage,0.3757892774,0.2672186419,0.1074359864,0.1406230547,0.2909404933,0.8899205983,0.9160226583,16384
10203,2,13,1,False,core_network.layers.0.populations.e.branch_layers.1,total_conductance,72.10741864,14.33262776,52.14910126,53.86022358,72.37272263,95.7761322,114.1262207,16384
10203,2,13,1,False,core_network.layers.0.populations.e.branch_layers.1,input_resistance,0.01441834317,0.002807054679,0.008762228303,0.01044101496,0.01381736062,0.01856657686,0.01917578653,16384
10203,2,13,1,False,core_network.layers.0.populations.e.branch_layers.1,activation_derivative,1,0,1,1,1,1,1,16384
10203,2,13,1,False,core_network.layers.0.populations.e.branch_layers.1,path_gain,0.4848796327,0.01285943886,0.4669829309,0.4676365554,0.4848497957,0.5021651387,0.5028185248,16384
10203,2,13,2,True,core_network.layers.0.populations.e.branch_layers.2,branch_voltage,0.367670715,0.1841938189,0.1572179347,0.1862681217,0.2308418751,0.5942449957,0.6115877628,8192
10203,2,13,2,True,core_network.layers.0.populations.e.branch_layers.2,total_conductance,33.06807429,0.05874821233,32.99521255,32.99634171,33.11002159,33.131073,33.14229584,8192
10203,2,13,2,True,core_network.layers.0.populations.e.branch_layers.2,input_resistance,0.0302407438,5.375153785e-05,0.03017292544,0.03018314578,0.03020233661,0.03030638956,0.03030742705,8192
10203,2,13,2,True,core_network.layers.0.populations.e.branch_layers.2,activation_derivative,1,0,1,1,1,1,1,8192
10203,2,13,2,True,core_network.layers.0.populations.e.branch_layers.2,path_gain,1,0,1,1,1,1,1,8192
10204,2,14,0,False,core_network.layers.0.populations.e.branch_layers.0,branch_voltage,0.4841459635,0.3463016319,0.0002635004639,0.002037342801,0.4839774668,0.9632164359,0.9828467965,49152
10204,2,14,0,False,core_network.layers.0.populations.e.branch_layers.0,total_conductance,80.17975358,61.33760294,7.030025482,9.81532321,64.12801361,208.5109352,383.3539734,49152
10204,2,14,0,False,core_network.layers.0.populations.e.branch_layers.0,input_resistance,0.02869715826,0.03248092078,0.002608555136,0.004795911605,0.01559380908,0.1018815178,0.1422469914,49152
10204,2,14,0,False,core_network.layers.0.populations.e.branch_layers.0,activation_derivative,1,0,1,1,1,1,1,49152
10204,2,14,0,False,core_network.layers.0.populations.e.branch_layers.0,path_gain,0.1138348437,0.02783796072,0.05663322285,0.07838639952,0.1007331274,0.1501305573,0.156358704,49152
10204,2,14,1,False,core_network.layers.0.populations.e.branch_layers.1,branch_voltage,0.3744995051,0.2684095239,0.1089703217,0.137731678,0.2906500995,0.8908686876,0.919190824,16384
10204,2,14,1,False,core_network.layers.0.populations.e.branch_layers.1,total_conductance,71.37358933,13.84002986,51.62273026,53.60526562,73.29570389,92.93941803,127.6496735,16384
10204,2,14,1,False,core_network.layers.0.populations.e.branch_layers.1,input_resistance,0.01453808848,0.00276450934,0.007833940908,0.01075969706,0.01364336442,0.01865488365,0.01937131211,16384
10204,2,14,1,False,core_network.layers.0.populations.e.branch_layers.1,activation_derivative,1,0,1,1,1,1,1,16384
10204,2,14,1,False,core_network.layers.0.populations.e.branch_layers.1,path_gain,0.4848791573,0.0131055335,0.4655266702,0.4683689773,0.4848514795,0.5014339685,0.5042688251,16384
