panel,task,series,x_name,x_label,unit,mean,signed_mean,n_seeds,interval,endpoint,drop_radius_pt,record,x,ci95_low,ci95_high,seed,value,noise,common_rate,ci_low,ci_high,positive_seeds
C,Pairwise,unit broadcast,training updates,,test NMSE,0.023161185907632286,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,14336.0,0.022890058988611243,0.023441508584664653,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.02317433788358499,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,14592.0,0.022895174656737217,0.023502443939406644,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.023150103124397425,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,14848.0,0.02290486508073592,0.023413528783525536,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.023144457661464904,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,15104.0,0.02283449793287438,0.0234775633513845,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.023071884291800005,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,15360.0,0.022785995981785122,0.023394717943058297,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.02325819117675581,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,15616.0,0.022927068844068137,0.023619403724559437,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.02311573495001292,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,15872.0,0.022860097609894055,0.023373934080869366,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.02310397927241807,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,16128.0,0.02284417442728271,0.023368909938379857,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.02332293440194623,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,16384.0,0.02296925547789468,0.023701375718206765,,,,,,,
C,Pairwise,calibrated broadcast,training updates,,test NMSE,0.5056821362999094,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,64.0,0.40334623624680493,0.6082886640180034,,,,,,,
C,Pairwise,calibrated broadcast,training updates,,test NMSE,0.02918861293737516,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,256.0,0.02295992377590877,0.04072975305153739,,,,,,,
C,Pairwise,calibrated broadcast,training updates,,test NMSE,0.023202347749673086,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,512.0,0.02285355623390915,0.023601708202575962,,,,,,,
C,Pairwise,calibrated broadcast,training updates,,test NMSE,0.023576073407093383,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,1024.0,0.02319640055633907,0.02398210392652153,,,,,,,
C,Pairwise,calibrated broadcast,training updates,,test NMSE,0.023744045707454763,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,1280.0,0.023418210839679016,0.024105209528717593,,,,,,,
