channels,method,residual,wiring_nonzeros,root_id,residual_sd,actual_channels
2,random paths,0.9756281213342619,1.453125,864691135919106224,0.04501358956400867,
2,shuffled ancestry,0.9282193486174071,2.0,864691135919106224,0.06502314121153209,
2,depth-only bins,0.8414432727056222,14.0,864691135919106224,,2.0
4,dense PCA oracle,0.3377814126403751,56.0,864691135919106224,,
4,morphology-aware paths,0.5603309415538749,5.0,864691135919106224,,
4,random paths,0.9195616368412562,3.359375,864691135919106224,0.07418722466778065,
4,shuffled ancestry,0.8409465302153043,5.0,864691135919106224,0.09594772054982671,
4,depth-only bins,0.6967791431236656,14.0,864691135919106224,,4.0
8,dense PCA oracle,0.09250869240879857,112.0,864691135919106224,,
8,morphology-aware paths,0.2111742138749644,14.0,864691135919106224,,
8,random paths,0.8301423272822491,5.28125,864691135919106224,0.1090003499187352,
8,shuffled ancestry,0.6561299555743508,14.0,864691135919106224,0.11959552359822825,
8,depth-only bins,0.5754968108732406,14.0,864691135919106224,,8.0
1,dense PCA oracle,0.8533606250723338,21.0,864691135455195242,,
1,morphology-aware paths,0.8682770598913496,2.0,864691135455195242,,
1,random paths,0.972289127638205,1.671875,864691135455195242,0.04183194014297011,
1,shuffled ancestry,0.9583598207512096,2.0,864691135455195242,0.04481981597534099,
1,depth-only bins,0.9649002350049696,21.0,864691135455195242,,1.0
2,dense PCA oracle,0.7011674076360099,42.0,864691135455195242,,
2,morphology-aware paths,0.7239897096320962,3.0,864691135455195242,,
2,random paths,0.9527606859093961,1.546875,864691135455195242,0.05840696405548047,
2,shuffled ancestry,0.947923082880621,3.0,864691135455195242,0.056847699306545006,
2,depth-only bins,0.9242650963363231,21.0,864691135455195242,,2.0
4,dense PCA oracle,0.3342923110286324,84.0,864691135455195242,,
4,morphology-aware paths,0.5184975341750422,7.0,864691135455195242,,
4,random paths,0.9060715118488631,4.875,864691135455195242,0.08646543742631953,
4,shuffled ancestry,0.9030862656540604,7.0,864691135455195242,0.07468943703834788,
4,depth-only bins,0.8705863299518418,21.0,864691135455195242,,4.0
8,dense PCA oracle,0.13333211156124056,168.0,864691135455195242,,
8,morphology-aware paths,0.28428362993958073,17.0,864691135455195242,,
8,random paths,0.7956939262104112,8.0,864691135455195242,0.1168203313505536,
8,shuffled ancestry,0.7409784053629239,17.0,864691135455195242,0.10427791884778158,
8,depth-only bins,0.6070536035481398,21.0,864691135455195242,,8.0
16,dense PCA oracle,0.0,336.0,864691135455195242,,
16,morphology-aware paths,0.06699203691235336,50.0,864691135455195242,,
16,random paths,0.5932685575183434,22.65625,864691135455195242,0.15227562041729967,
